252.50999	21.83	546.0788376
249.32001	20.85	546.7961089
249.00999	20.8	549.3778708
249.39999	20.71	550.7520314
249.39999	20.67	558.6378247
249.88	20.2	594.7148534
253.25	20.13	598.8313858
252.50999	20.04	619.8563275
253.49001	19.9	625.1873836
251.24001	19.79	632.4558953
252.78999	19.73	637.6138134
251.23	19.65	642.2151525
253.10001	19.42	642.8033285
251.36	19.3	647.8908369
253.92999	19.3	652.2708998
253.25	19.14	652.6622551
251.39	18.97	657.5111232
253.42	18.76	665.2721205
254.2	17.27	670.8752516
253.77	17.08	674.036735
254.45	16.99	678.8515188
254.69	16.72	681.229118
