237.92	32.17	140.9471295
239.17	31.95	153.524451
241.37	31.94	156.3048661
238.91	31.6	176.331353
241.92999	27.8	180.2296795
243.14	27.69	183.8755733
241.46001	27.24	229.1642354
244.8	26.98	300.9935081
240.7	26.89	398.8701145
244.98	26.86	403.0377061
244.99001	26.57	404.5932895
244.89999	26.05	406.5654221
243.89	25.65	444.8723584
243.92	25.42	474.2611236
243.94	25.38	476.165627
244.06	25.15	477.3561884
245.06	24	479.0362994
244.95	23.88	496.1958703
247.52	23.54	516.4544832
245.97	23.2	523.753501
245.2	23.07	527.3116345
245.2	23.07	529.3454771
245.21001	23.04	529.8720742
247.57001	23.02	532.3155223
